Date début;Number of Orders
2019-01;399
2019-02;252
2019-03;307
2019-04;296
2019-05;230
2019-06;207
2019-07;292
2019-08;223
2019-09;300
2019-10;344
2019-11;273
2019-12;252
2020-01;257
2020-02;258
2020-03;174
2020-04;218
2020-05;226
2020-06;248
2020-07;159
2020-08;210
2020-09;229
2020-10;202
2020-11;180
2020-12;271
2021-01;199
2021-02;246
2021-03;203
2021-04;239
2021-05;214
2021-06;275
2021-07;214
2021-08;270
2021-09;327
2021-10;255
2021-11;296
2021-12;305
2022-01;230
2022-02;232
2022-03;34
