Ordre de travail;Staut Ordre de travail;Equipment;Noeud Parent;Classification Equipement;Date début;Type OT
OT008636;clôturé;PFC101;PFC1;MECANIQUE;2019-01-11;correctif non planifié
OT008661;en cours INV;ULPRPH06;ULPRPH;MECANIQUE;2019-01-06;correctif planifié
OT008662;en cours INV;ULPRPH030903;ULPRPH0309;MECANIQUE;2019-01-11;correctif planifié
OT008664;en cours INV;ULPRPH0205;ULPRPH02;MECANIQUE;2019-01-11;correctif planifié
OT008667;clôturé;PAV302;PAV3;MECANIQUE;2019-01-11;correctif planifié
OT008687;clôturé;PFC102;PFC1;MECANIQUE;2019-01-13;correctif planifié
OT008689;clôturé;PFC101;PFC1;MECANIQUE;2019-01-12;correctif planifié
OT008690;clôturé;PFC107;PFC1;MECANIQUE;2019-01-14;correctif non planifié
OT008693;clôturé;PFS103;PFS1;MECANIQUE;2019-01-02;correctif non planifié
OT008694;clôturé;PFC103;PFC1;MECANIQUE;2019-01-01;correctif planifié
OT008696;clôturé;PFC103;PFC1;MECANIQUE;2019-01-01;correctif planifié
OT008697;clôturé;PFC106;PFC1;MECANIQUE;2019-01-01;correctif planifié
OT008698;clôturé;PFC103;PFC1;MECANIQUE;2019-01-03;correctif planifié
OT008699;clôturé;PFC101;PFC1;MECANIQUE;2019-01-03;correctif planifié
OT008700;clôturé;PFS103;PFS1;MECANIQUE;2019-01-03;correctif planifié
OT008701;clôturé;PFC111;PFC1;MECANIQUE;2019-01-01;correctif planifié
OT008702;clôturé;PFC103;PFC1;MECANIQUE;2019-01-01;correctif non planifié
OT009284;en cours INV;ULPRPH0409;ULPRPH04;MECANIQUE;2019-01-15;correctif planifié
OT009285;en cours INV;ULPRPH0104;ULPRPH01;MECANIQUE;2019-01-14;correctif planifié
OT009286;clôturé;ULPRSR0102;ULPRSR01;MECANIQUE;2019-01-12;correctif planifié
OT009287;en cours INV;ULPRPH0108;ULPRPH01;MECANIQUE;2019-01-13;correctif non planifié
OT009288;en cours INV;ULUTVP0103;ULUTVP01;MECANIQUE;2019-01-16;correctif non planifié
OT009292;en cours INV;ULPRPH0205;ULPRPH02;MECANIQUE;2019-01-15;correctif planifié
OT009293;en cours INV;ULPRPH0405;ULPRPH04;MECANIQUE;2019-01-14;correctif non planifié
OT009402;en cours INV;ULPRPH0409;ULPRPH04;MECANIQUE;2019-01-15;correctif planifié
OT009427;en cours INV;ULPRPH0405;ULPRPH04;MECANIQUE;2019-01-15;correctif non planifié
OT009455;clôturé;PAV004021;PAV004;MECANIQUE;2019-01-16;correctif planifié
OT009459;clôturé;PFC104;PFC1;MECANIQUE;2019-01-15;correctif planifié
OT009460;clôturé;PFC103;PFC1;MECANIQUE;2019-01-16;correctif planifié
OT009461;clôturé;PFC106;PFC1;MECANIQUE;2019-01-15;correctif planifié
