date;arima-man;sarima;ses;xgboost
2022-03-05;0.3409081643671406;0.32434600292076954;0.2879273125637377;0.45721695
2022-03-06;0.3405201668225031;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-07;0.2157141207669292;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-08;0.2608057457990591;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-09;0.363638048432243;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-10;0.2932736635407887;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-11;0.2070120364045857;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-12;0.309992380227141;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-13;0.3571985603223767;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-14;0.247234410293868;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-15;0.2286874430583839;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-16;0.3500277724597102;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-17;0.3246799472987042;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-18;0.2191988105662907;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-19;0.271141015007693;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-20;0.3661117002023091;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-21;0.2791798441167414;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-22;0.2188822275253677;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-23;0.3176645865224918;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-24;0.3532314084498818;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-25;0.2383208348155069;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-26;0.2453970642331152;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-27;0.3508175784883075;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-28;0.3175001297742023;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-29;0.2173467922992374;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-30;0.2878940493388905;0.2879233918319578;0.2879273125637377;0.45721695
2022-03-31;0.3588796841745034;0.2879233918319578;0.2879273125637377;0.45721695
2022-04-01;0.2733378672464916;0.2879233918319578;0.2879273125637377;0.45721695
2022-04-02;0.2234423495188517;0.2879233918319578;0.2879273125637377;0.45721695
2022-04-03;0.3299589380777555;0.2879233918319578;0.2879273125637377;0.45721695
